label;HI1;HI3;HI5;HI7;HI9;HI11
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Blender;0;0;0;0;0;0
Blender;99.54;8.87;2.63;1.81;0.56;1.14
Blender;99.55;7.92;2.21;2.07;0.6;1.04
Blender;99.55;8.5;2.13;2.19;1.4;1
Blender;99.49;8.78;3.1;2.22;1.41;1.03
Blender;99.41;9.42;2.94;0.95;1.92;1.55
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Blender;99.38;9.03;2.65;3.01;1.31;1.13
Blender;99.4;8.72;3.18;2.51;1.7;1.98
Blender;99.58;8.06;2.94;1.96;1.3;0.99
Blender;99.53;8.51;2.91;2.11;1.63;1.27
Blender;99.55;8.39;2.99;2.11;1.2;1.29
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Blender;99.53;8.59;2.88;2.24;1.48;0.65
Blender;99.58;7.71;2.58;2.92;0.7;1.21
Blender;99.38;9.38;3.17;2.45;0.64;1.76
Blender;99.5;8.16;3.15;2.31;1.22;0.48
Blender;99.36;9.21;2.46;2.57;1.58;1.26
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Hairdryer;99.89;3.19;1.79;0.75;1.64;0.68
Hairdryer;99.9;3.26;2.22;0.62;1.25;1.03
Hairdryer;99.89;3.18;2.27;0.87;1.61;0.74
Hairdryer;99.91;2.94;2.04;0.77;1.43;0.63
Hairdryer;99.9;3.07;1.71;1.13;0.84;0
Hairdryer;99.86;2.75;2.07;1.25;1.84;0.96
Hairdryer;35.59;21.98;16.41;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Hairdryer;0;0;0;0;0;0
Hairdryer;99.86;3.61;2.07;1.22;0.84;0.89
Hairdryer;99.88;3.28;1.98;0.89;1.12;0
Hairdryer;99.9;3.1;2.13;1.06;0.96;0.98
Hairdryer;99.91;2.79;2.33;0.81;1.4;0.71
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Hairdryer;99.87;3.32;2.05;1.44;1.38;0.5
Hairdryer;99.91;2.94;2.2;0.93;1.39;0.75
Hairdryer;99.86;3.02;2.22;0.87;1.85;0
Hairdryer;99.9;3.22;1.97;1.01;1.6;0.64
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Hairdryer;0;0;0;0;0;0
Hairdryer;99.88;2.96;2.17;1.22;1.68;0.37
Hairdryer;99.9;3.02;2.17;1.08;0.37;0.43
Hairdryer;99.91;3.15;1.97;1.17;0.76;0.34
Hairdryer;99.9;3;2.45;0.84;1.14;0.65
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Hairdryer;0;0;0;0;0;0
Hairdryer;0;0;0;0;0;0
Hairdryer;99.9;2.7;1.69;0.55;1.73;0.92
Hairdryer;99.89;2.54;1.8;1.58;1.14;0.37
Hairdryer;99.86;2.5;1.77;1.15;1.02;0.94
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlender;99.81;5.02;2.3;1.63;1.13;0.82
HairdryerBlender;99.84;4.72;2.49;1.33;0.89;0.34
HairdryerBlender;99.8;4.94;2.55;1.42;1.39;0.41
HairdryerBlender;99.83;4.48;2.65;1.73;0.86;0.56
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlender;99.38;9.43;2.37;2.37;2.52;1.02
HairdryerBlender;99.83;4.79;2.14;0.74;0.53;0.63
HairdryerBlender;99.83;4.49;2.27;1.61;0.91;0.4
HairdryerBlender;99.85;4.43;2.22;1.08;0.79;0.61
HairdryerBlender;99.84;4.3;2.28;1.47;1.19;0.71
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlender;99.79;5.16;2.42;0.41;0.67;0.36
HairdryerBlender;99.83;4.65;2.28;0.82;0.73;0.64
HairdryerBlender;99.83;4.36;2.89;0.96;1.47;0
HairdryerBlender;99.8;4.39;2.4;1.84;1.58;1.37
HairdryerBlender;99.82;4.72;2.67;1.08;0.84;0.78
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlender;99.83;4.39;2.38;1.86;1.23;0.7
HairdryerBlender;99.81;3.96;1.86;1.3;1.01;0.34
HairdryerBlender;99.84;4.27;2.3;1.24;1.45;0.66
HairdryerBlender;99.81;4.52;2.61;1.3;1.33;1.11
HairdryerBlender;99.83;4.22;2.76;1.52;1.3;0.59
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlender;0;0;0;0;0;0
HairdryerBlender;99.8;5.01;2.45;1.27;1.5;1.66
HairdryerBlender;99.85;4.5;2.34;0.59;0.69;0.65
HairdryerBlender;99.84;4.55;2.47;0.91;1.2;0
HairdryerBlender;99.81;4.72;2.14;1.73;1.02;1.76
HairdryerBlender;99.82;4.59;2.7;1.14;1.28;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerKipas;99.79;4.59;2.75;1.62;1.76;2.17
HairdryerKipas;99.82;4.43;2.6;1.28;1.82;1.1
HairdryerKipas;99.82;4.21;2.82;1.36;1.22;0.41
HairdryerKipas;99.8;4.38;2.67;1.89;1.73;0.72
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerKipas;0;0;0;0;0;0
HairdryerKipas;99.82;4.08;2.74;1.86;1.6;1.01
HairdryerKipas;99.81;4.22;2.76;1.62;1.3;0.34
HairdryerKipas;99.87;3.38;2.33;1.6;1.5;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerKipas;99.86;3.8;2.41;1.59;1.56;0.63
HairdryerKipas;99.83;3.67;2.3;1.5;1.71;1.27
HairdryerKipas;99.81;4.37;2.53;1.55;1.28;0.46
HairdryerKipas;99.82;4.31;2.38;1.43;1.63;0.69
HairdryerKipas;99.85;3.93;2.46;1.4;1.42;0.73
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerKipas;99.84;3.74;2.93;0.95;1.61;0.53
